Strain,Country,Human_subject,Study_accession,score,Sample_accession,
GUT_GENOME000001,United Kingdom,Unknown,ERP105624,97.43003171,ERS370061,
GUT_GENOME000002,United Kingdom,Unknown,ERP105624,95.79747735,ERS370062,
GUT_GENOME000003,United Kingdom,Unknown,ERP105624,101.0880811,ERS370063,
GUT_GENOME000004,United Kingdom,Unknown,ERP105624,102.0119384,ERS370064,
GUT_GENOME000005,United Kingdom,Unknown,ERP105624,99.50026209,ERS370065,
GUT_GENOME000006,United Kingdom,Unknown,ERP105624,101.8501888,ERS370067,
GUT_GENOME000007,United Kingdom,Unknown,ERP105624,99.02231913,ERS370068,
GUT_GENOME000008,United Kingdom,Unknown,ERP105624,102.8730414,ERS370070,
GUT_GENOME000009,United Kingdom,Unknown,ERP105624,83.30036184,ERS370071,
GUT_GENOME000010,United Kingdom,Unknown,ERP105624,100.1797348,ERS370072,
GUT_GENOME000011,United Kingdom,Unknown,ERP105624,102.1824948,ERS370073,
GUT_GENOME000012,United Kingdom,Unknown,ERP105624,99.89465194,ERS370074,
GUT_GENOME000013,United Kingdom,Unknown,ERP105624,99.10240479,ERS370075,
GUT_GENOME000014,United Kingdom,Unknown,ERP105624,92.82977058,ERS372688,
GUT_GENOME000015,United Kingdom,Unknown,ERP105624,98.9750603,ERS372689,
GUT_GENOME000016,United Kingdom,Unknown,ERP105624,101.2736034,ERS370057,
GUT_GENOME000017,United Kingdom,Unknown,ERP105624,102.1835104,ERS417217,
GUT_GENOME000019,United Kingdom,Unknown,ERP105624,100.5836443,ERS417219,
GUT_GENOME000020,United Kingdom,Unknown,ERP105624,94.85207357,ERS417220,
GUT_GENOME000021,United Kingdom,Unknown,ERP105624,101.6526758,ERS417221,
GUT_GENOME000022,United Kingdom,Unknown,ERP105624,97.80540813,ERS417222,
GUT_GENOME000023,United Kingdom,Unknown,ERP105624,99.19133492,ERS417223,
GUT_GENOME000024,United Kingdom,Unknown,ERP105624,100.9517562,ERS417224,
GUT_GENOME000025,United Kingdom,Unknown,ERP105624,101.2706456,ERS417225,
GUT_GENOME000026,United Kingdom,Unknown,ERP105624,102.1552268,ERS417226,
GUT_GENOME000027,United Kingdom,Unknown,ERP105624,100.4158963,ERS417208,
GUT_GENOME000028,United Kingdom,Unknown,ERP105624,98.89658868,ERS417227,
GUT_GENOME000029,United Kingdom,Unknown,ERP105624,93.58743507,ERS417228,
GUT_GENOME000030,United Kingdom,Unknown,ERP105624,95.84286185,ERS417230,
GUT_GENOME000031,United Kingdom,Unknown,ERP105624,101.6266509,ERS417231,
GUT_GENOME000032,United Kingdom,Unknown,ERP105624,99.60306361,ERS417233,
GUT_GENOME000033,United Kingdom,Unknown,ERP105624,102.1042504,ERS417234,
GUT_GENOME000034,United Kingdom,Unknown,ERP105624,96.85572956,ERS417235,
GUT_GENOME000035,United Kingdom,Unknown,ERP105624,101.5652231,ERS417236,
GUT_GENOME000036,United Kingdom,Unknown,ERP105624,100.3579668,ERS417209,
GUT_GENOME000037,United Kingdom,Unknown,ERP105624,101.375216,ERS417237,
GUT_GENOME000038,United Kingdom,Unknown,ERP105624,101.4443425,ERS417238,
GUT_GENOME000039,United Kingdom,Unknown,ERP105624,100.8683057,ERS417239,
GUT_GENOME000040,United Kingdom,Unknown,ERP105624,101.8163785,ERS417240,
GUT_GENOME000041,United Kingdom,Unknown,ERP105624,102.278404,ERS417241,
GUT_GENOME000042,United Kingdom,Unknown,ERP105624,101.0043393,ERS417242,
GUT_GENOME000043,United Kingdom,Unknown,ERP105624,102.0210539,ERS417243,
GUT_GENOME000044,United Kingdom,Unknown,ERP105624,101.4683542,ERS417244,
GUT_GENOME000045,United Kingdom,Unknown,ERP105624,96.22607474,ERS417245,
GUT_GENOME000046,United Kingdom,Unknown,ERP105624,101.8506728,ERS417246,
GUT_GENOME000047,United Kingdom,Unknown,ERP105624,101.0798679,ERS417210,
GUT_GENOME000048,United Kingdom,Unknown,ERP105624,102.9087245,ERS417247,
GUT_GENOME000049,United Kingdom,Unknown,ERP105624,99.84333536,ERS417248,
GUT_GENOME000050,United Kingdom,Unknown,ERP105624,100.7044487,ERS417249,
GUT_GENOME000051,United Kingdom,Unknown,ERP105624,97.91005404,ERS417250,
GUT_GENOME000052,United Kingdom,Unknown,ERP105624,100.9600207,ERS417251,
GUT_GENOME000053,United Kingdom,Unknown,ERP105624,101.9882585,ERS417252,
GUT_GENOME000054,United Kingdom,Unknown,ERP105624,98.52168386,ERS417253,
GUT_GENOME000055,United Kingdom,Unknown,ERP105624,102.1617162,ERS417254,
